arg,tittle,genres,argumento
1,Historia de juguete (1995),Aventura | Animación | Niños | Comedia | Fantasía,"Los juguetes de Andy, un niño de seis años, temen que un nuevo regalo les sustituya en el corazón de su dueño. Woody, un vaquero que ha sido hasta ahora el juguete favorito, trata de tranquilizarlos hasta que aparece Buzz Lightyear. Un muñeco de vaquero es profundamente amenazada y celosa cuando una nueva figura de Spaceman lo suplantan como top juguete en la habitación de un niño."
2,JUMANJI (1995),Aventura | Niños | Fantasía,"Cuando dos hijos encuentran y juegan un juego de mesa mágico, liberan a un hombre atrapado en él durante décadas, y una serie de peligros que solo pueden detenerse al terminar el juego."
3,Grumpier Old Men (1995),Comedia | romance,"John y Max se resuelven a salvar a su amada tienda de cebos para convirtiéndose en un restaurante italiano, al igual que su nuevo dueño de la presencia de la atención de Max."
4,Esperando para exhalar (1995),Comedia | drama | romance,"Basado en la novela de Terry McMillan, esta película sigue a cuatro mujeres afroamericanas muy diferentes y sus relaciones con el género masculino. Esperando un respiro' cuenta la historia de Savannah, Gloria, Bernardine y Robin, cuatro mujeres afroamericanas que se reúnen para hablar de sus miserias en el amor o el trabajo.Todas ellas están obsesionadas con encontrar el amor verdadero que les permita tener una relación estable y duradera, algo que no es tan sencillo como pueda parecer."
5,Padre de la novia Parte II (1995),Comedia,"George Banks debe tratar no solo con el embarazo de su hija, sino también con el inesperado embarazo de su esposa. Tras la boda de su querida hija Anne, George Banks siente que un periodo de calma y disfrute se abre ante él. Podrá cumplir su sueño de vender su casa y vivir junto a la playa. Pero primero los recién casados, anunciando su próxima paternidad, y después su mujer Nina, comunicándole que también está embarazada, parecen estar dispuestos a no dejarle disfrutar de su bien ganado descanso."
6,Calor (1995),Acción | Crimen | Thriller,"Un grupo de ladrones de bancos profesionales comienzan a sentir el calor de la policía cuando, sin saberlo, deja una pista de su último heist. Un veterano ladrón de bancos decide preparar un último y sofisticado robo con la intención de retirarse, pero un policía de métodos expeditivos, cuya vida privada es una pesadilla, se propone impedírselo."
7,Sabrina (1995),Comedia | romance,"Un patito feo que ha sufrido un cambio notable, todavía alberga sentimientos por su enamoramiento: un playboy sin preocupaciones, pero no antes de que su hermano centrado en el negocio tenga algo que decir al respecto."
8,Tom y Huck (1995),Aventura | Niños,Dos mejores amigos son testigos de un asesinato y se embarcan en una serie de aventuras para demostrar que la inocencia del hombre acusó erróneamente del crimen.
9,Muerte repentina (1995),Acción,"Un ex bombero adquiere un grupo de terroristas con el vicepresidente y otros rehén durante el séptimo juego de las finales de la Copa NHL Stanley. Un bombero descubre que un grupo terrorista, dirigido por un ex agente de la CIA que se ha vuelto loco, ha planeado secuestrar al vicepresidente americano durante un partido de hockey"
10,Goldeneye (1995),Acción | Aventura | Thriller,"Años después de que un amigo y compañero 00 agente muele en una misión conjunta, se roba un programa secreto de armas basado en el espacio conocido como ""Goldeneye"". James Bond se propone detener un sindicato de crimen ruso de usar el arma."
11,"Presidente estadounidense, el (1995)",Comedia | drama | romance,"Un presidente de EE. UU. O.S. Funcionando para la reelección y un cabildero ambiental enamorado. Todo es por encima del tablero, pero ""la política es la política"", y las chispas vuelan de todos modos."
12,Drácula: Muerto y amándolo (1995),Comedia | horror,"Mel Brooks 'Parody of the Classic Vampire Story y sus famosas adaptaciones de cine. Renfield conoce al Conde Drácula, quien, sin que Renfield lo sepa, es un vampiro. Drácula lanza un hechizo hipnótico sobre Renfield, convirtiéndolo en su esclavo. Pronto se embarcan para Inglaterra. Durante el viaje, Drácula mata a la tripulación del barco. Cuando llega el barco y descubren a Renfield solo en el barco, lo confinan a un manicomio. Mientras tanto, Drácula visita un teatro de ópera, donde se presenta a sus nuevos vecinos: el doctor Seward, el administrador del asilo y psiquiatra jefe, la hija de Seward, Mina, y su prometido Jonathan Harker, y la amiga de la familia Lucy Westenra. Drácula coquetea con Lucy y, más tarde esa noche, entra a su dormitorio y bebe su sangre."
13,Balto (1995),Aventura | Animación | Niños,"Un husky marginado corre el riesgo de su vida con otros perros de trineo para evitar que una epidemia mortal devaje a Nome, Alaska. Un perro guía a un grupo que transporta medicamentos para niños enfermos en una remota villa de Alaska."
14,Nixon (1995),Drama,"Una historia biográfica del ex presidente de los EE. UU. Richard Nixon, desde sus días como un niño, a su eventual presidencia, que terminó con vergüenza. Richard Nixon fue uno de los presidentes más controvertidos de los EE.UU. Mientras que para algunos representó, a raíz del Caso Watergate (1973), lo peor de la democracia americana; para otros fue un gran estadista que contribuyó a poner fin a la Guerra Fría."
15,Cutthroat Island (1995),Acción | aventura | romance,"Un pirata femenino y su compañera raza contra sus rivales para encontrar una isla oculta que contenga un tesoro fabuloso. La pirata Morgan Adams y su esclavo, William Shaw, emprenden la búsqueda de los tres fragmentos necesarios para reconstruir el mapa de un tesoro. Por desgracia, su cruel tío Dawg, es el propietario del último trozo."
16,Casino (1995),Crimen | drama,"Una historia de la codicia, el engaño, el dinero, el poder y el asesinato se producen entre dos mejores amigos: un enfoque de la mafia y un ejecutivo de casino compiten entre sí sobre un imperio de juego, y sobre un socialista rápido y amante rápido."
17,Sentido y sensibilidad (1995),Drama | Romance,"El rico Sr. Dashwood muere, dejando a su segunda esposa y sus tres hijas pobres por las reglas de herencia. Las dos hijas mayores son los opuestos del título."
18,Cuatro habitaciones (1995),Comedia,Cuatro cuentos de enclavamiento que tienen lugar en un hotel de desvanecimiento en la víspera de Año Nuevo. Un solitario botones sirve de lazo para cuatro historias en un hotel de Los Ángeles en la noche de Año Nuevo.
19,Ace Ventura: cuando la naturaleza llama (1995),Comedia,"Ace Ventura, detective de mascotas, regresa de una búsqueda espiritual para investigar la desaparición de un bate blanco raro, el animal sagrado de una tribu en África."
20,Tren de dinero (1995),Acción | Comedia | Crimen | Drama | Thriller,"Una vengativa Ciudad de Nueva York Transit COP decide robar una carga de tarifas de metro. Su hermano foster, un compañero de policía, trata de protegerlo."
21,SHORTY (1995),Comedia | crimen | thriller,"Un mobster viaja a Hollywood para recolectar una deuda, y descubre que el negocio de la película es el mismo que su trabajo actual. Un callejero encantador usa su poder de persuasión para convertirse en ídolo de Hollywood: se hace productor y tiene una aventura con una celebridad del cine. Sin embargo, será acosado por estafadores."
22,Copycat (1995),Crimen | drama | horror | misterio | thriller,"Un psicólogo agorafóbico y un detective femenino deben trabajar juntos para derribar a un asesino en serie que copia a los asesinos en serie del pasado. Un asesino acecha las calles de San Francisco con una peculiaridad: no tiene un comportamiento definido, sino que imita asesinatos de otros psicópatas famosos, siendo así imposible de rastrear."
23,Asesinos (1995),Acción | Crimen | Thriller,"Hit-Man-Man Robert Rath quiere cumplir con algunos contratos más antes de retirarse pero sin escrúpulos, un ambicioso, el Hit-Man, Miguel Bain, sigue matando a los objetivos de Rath."
24,Polvo (1995),Drama | ciencia ficción,Un genio de los gráficos que está escolarizado y rechazado después de que sus últimos matrices relativos muestran a los residentes inconscientes de su ciudad sobre la conciencia de la conexión y la generosidad del espíritu. Un ex cazador de ballenas y su amigo tienen que rescatar a su hermano de un inventor loco que roba los sueños de niños.
25,Saliendo de Las Vegas (1995),Drama | Romance,"Ben Sanderson, un guionista de Hollywood que perdió todo debido a su alcoholismo, llega a Las Vegas para que se bebiera hasta la muerte. Allí, se encuentra y forma una incómoda amistad y un pacto de no interferencia con sueros prostitutas."
26,Othello (1995),Drama,"El general árabe Othello se manipula para pensar que su nueva esposa Desdemona ha estado llevando a cabo un asunto con su teniente Michael Cassio, cuando en realidad, es todo, parte del esquema de un amargo insignia llamado Iago."
